"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","sentence1","Comments"
1552428378,216,"PennController",53,0,"particle","NULL","PennController",53,"_Trial_","Start",1552427588147,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552428378,216,"PennController",53,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552427597668,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552428378,216,"PennController",53,0,"particle","NULL","PennController",53,"_Trial_","End",1552427599261,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552428378,216,"PennController",23,0,"filler","NULL","PennController",23,"_Trial_","Start",1552427599263,"The amateur chef was a cook who in the kitchen would develop recipes.","NULL"
1552428378,216,"PennController",23,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552427609116,"The amateur chef was a cook who in the kitchen would develop recipes.","NULL"
1552428378,216,"PennController",23,0,"filler","NULL","PennController",23,"_Trial_","End",1552427610634,"The amateur chef was a cook who in the kitchen would develop recipes.","NULL"
1552428378,216,"PennController",42,0,"prepositional","NULL","PennController",42,"_Trial_","Start",1552427610637,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552428378,216,"PennController",42,0,"prepositional","NULL","Selector","trial1","Selection","sentence2",1552427624249,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552428378,216,"PennController",42,0,"prepositional","NULL","PennController",42,"_Trial_","End",1552427625492,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552428378,216,"PennController",58,0,"particle","NULL","PennController",58,"_Trial_","Start",1552427625494,"This kind woman was a friend whom my aunt would frequently catch up with.","NULL"
1552428378,216,"PennController",58,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552427635986,"This kind woman was a friend whom my aunt would frequently catch up with.","NULL"
1552428378,216,"PennController",58,0,"particle","NULL","PennController",58,"_Trial_","End",1552427638041,"This kind woman was a friend whom my aunt would frequently catch up with.","NULL"
1552428378,216,"PennController",9,0,"filler","NULL","PennController",9,"_Trial_","Start",1552427638043,"That old song was a tune that by the end would sound familiar.","NULL"
1552428378,216,"PennController",9,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552427648115,"That old song was a tune that by the end would sound familiar.","NULL"
1552428378,216,"PennController",9,0,"filler","NULL","PennController",9,"_Trial_","End",1552427649350,"That old song was a tune that by the end would sound familiar.","NULL"
1552428378,216,"PennController",44,0,"prepositional","NULL","PennController",44,"_Trial_","Start",1552427649352,"The friendly star was a figure whom many fans would regularly write to.","NULL"
1552428378,216,"PennController",44,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552427674177,"The friendly star was a figure whom many fans would regularly write to.","NULL"
1552428378,216,"PennController",44,0,"prepositional","NULL","PennController",44,"_Trial_","End",1552427675215,"The friendly star was a figure whom many fans would regularly write to.","NULL"
1552428378,216,"PennController",50,0,"particle","NULL","PennController",50,"_Trial_","Start",1552427675217,"The popular shampoo was a product which the store would regularly run out of.","NULL"
1552428378,216,"PennController",50,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552427685743,"The popular shampoo was a product which the store would regularly run out of.","NULL"
1552428378,216,"PennController",50,0,"particle","NULL","PennController",50,"_Trial_","End",1552427687207,"The popular shampoo was a product which the store would regularly run out of.","NULL"
1552428378,216,"PennController",19,0,"filler","NULL","PennController",19,"_Trial_","Start",1552427687209,"The stern captain is the officer who on the boat could give orders.","NULL"
1552428378,216,"PennController",19,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552427696711,"The stern captain is the officer who on the boat could give orders.","NULL"
1552428378,216,"PennController",19,0,"filler","NULL","PennController",19,"_Trial_","End",1552427698167,"The stern captain is the officer who on the boat could give orders.","NULL"
1552428378,216,"PennController",30,0,"prepositional","NULL","PennController",30,"_Trial_","Start",1552427698169,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552428378,216,"PennController",30,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552427739914,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552428378,216,"PennController",30,0,"prepositional","NULL","PennController",30,"_Trial_","End",1552427741100,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552428378,216,"PennController",49,0,"particle","NULL","PennController",49,"_Trial_","Start",1552427741103,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552428378,216,"PennController",49,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552427749526,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552428378,216,"PennController",49,0,"particle","NULL","PennController",49,"_Trial_","End",1552427750421,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552428378,216,"PennController",22,0,"filler","NULL","PennController",22,"_Trial_","Start",1552427750425,"The new teacher is a vocalist who at this school will teach music.","NULL"
1552428378,216,"PennController",22,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552427759322,"The new teacher is a vocalist who at this school will teach music.","NULL"
1552428378,216,"PennController",22,0,"filler","NULL","PennController",22,"_Trial_","End",1552427760181,"The new teacher is a vocalist who at this school will teach music.","NULL"
1552428378,216,"PennController",40,0,"prepositional","NULL","PennController",40,"_Trial_","Start",1552427760183,"That retired teacher is the customer whom the server would often wait on.","NULL"
1552428378,216,"PennController",40,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552427767963,"That retired teacher is the customer whom the server would often wait on.","NULL"
1552428378,216,"PennController",40,0,"prepositional","NULL","PennController",40,"_Trial_","End",1552427770337,"That retired teacher is the customer whom the server would often wait on.","NULL"
1552428378,216,"PennController",55,0,"particle","NULL","PennController",55,"_Trial_","Start",1552427770339,"The difficult hike is a challenge which any adventurer should carefully gear up for.","NULL"
1552428378,216,"PennController",55,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552427777263,"The difficult hike is a challenge which any adventurer should carefully gear up for.","NULL"
1552428378,216,"PennController",55,0,"particle","NULL","PennController",55,"_Trial_","End",1552427778385,"The difficult hike is a challenge which any adventurer should carefully gear up for.","NULL"
1552428378,216,"PennController",24,0,"filler","NULL","PennController",24,"_Trial_","Start",1552427778391,"The experienced artist is a master who by the statue will paint portraits.","NULL"
