"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","sentence1","Comments"
1552756223,280,"PennController",61,0,"particle","NULL","PennController",61,"_Trial_","Start",1552755389553,"That timid accountant was the employee whom the boss would always talk down to.","NULL"
1552756223,280,"PennController",61,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552755401684,"That timid accountant was the employee whom the boss would always talk down to.","NULL"
1552756223,280,"PennController",61,0,"particle","NULL","PennController",61,"_Trial_","End",1552755402449,"That timid accountant was the employee whom the boss would always talk down to.","NULL"
1552756223,280,"PennController",8,0,"filler","NULL","PennController",8,"_Trial_","Start",1552755402450,"Each new adventure is an experience that at the start will feel uncomfortable.","NULL"
1552756223,280,"PennController",8,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552755417483,"Each new adventure is an experience that at the start will feel uncomfortable.","NULL"
1552756223,280,"PennController",8,0,"filler","NULL","PennController",8,"_Trial_","End",1552755418408,"Each new adventure is an experience that at the start will feel uncomfortable.","NULL"
1552756223,280,"PennController",30,0,"prepositional","NULL","PennController",30,"_Trial_","Start",1552755418408,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552756223,280,"PennController",30,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552755428416,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552756223,280,"PennController",30,0,"prepositional","NULL","PennController",30,"_Trial_","End",1552755429435,"The careful argument was a statement which no opponent could easily argue with.","NULL"
1552756223,280,"PennController",53,0,"particle","NULL","PennController",53,"_Trial_","Start",1552755429436,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552756223,280,"PennController",53,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552755437410,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552756223,280,"PennController",53,0,"particle","NULL","PennController",53,"_Trial_","End",1552755438807,"The unsigned contract is a deal which the businesswoman could still back out of.","NULL"
1552756223,280,"PennController",14,0,"filler","NULL","PennController",14,"_Trial_","Start",1552755438808,"The beautiful wedding was an event that for some time will be remembered.","NULL"
1552756223,280,"PennController",14,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552755450741,"The beautiful wedding was an event that for some time will be remembered.","NULL"
1552756223,280,"PennController",14,0,"filler","NULL","PennController",14,"_Trial_","End",1552755452881,"The beautiful wedding was an event that for some time will be remembered.","NULL"
1552756223,280,"PennController",32,0,"prepositional","NULL","PennController",32,"_Trial_","Start",1552755452882,"The new plan is a project which the mayor should immediately work on.","NULL"
1552756223,280,"PennController",32,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552755467472,"The new plan is a project which the mayor should immediately work on.","NULL"
1552756223,280,"PennController",32,0,"prepositional","NULL","PennController",32,"_Trial_","End",1552755468576,"The new plan is a project which the mayor should immediately work on.","NULL"
1552756223,280,"PennController",62,0,"particle","NULL","PennController",62,"_Trial_","Start",1552755468577,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552756223,280,"PennController",62,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552755491808,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552756223,280,"PennController",62,0,"particle","NULL","PennController",62,"_Trial_","End",1552755494957,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552756223,280,"PennController",7,0,"filler","NULL","PennController",7,"_Trial_","Start",1552755494958,"The talented musician was a performer who on some days would sing opera.","NULL"
1552756223,280,"PennController",7,0,"filler","NULL","Selector","trial1","Selection","sentence1",1552755511385,"The talented musician was a performer who on some days would sing opera.","NULL"
1552756223,280,"PennController",7,0,"filler","NULL","PennController",7,"_Trial_","End",1552755512419,"The talented musician was a performer who on some days would sing opera.","NULL"
1552756223,280,"PennController",42,0,"prepositional","NULL","PennController",42,"_Trial_","Start",1552755512420,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552756223,280,"PennController",42,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552755523948,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552756223,280,"PennController",42,0,"prepositional","NULL","PennController",42,"_Trial_","End",1552755524728,"That foster parent was a guardian whom many children could reliably depend on.","NULL"
1552756223,280,"PennController",49,0,"particle","NULL","PennController",49,"_Trial_","Start",1552755524730,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552756223,280,"PennController",49,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552755538884,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552756223,280,"PennController",49,0,"particle","NULL","PennController",49,"_Trial_","End",1552755540057,"The first snowfall was an event which my brother would impatiently look forward to.","NULL"
1552756223,280,"PennController",19,0,"filler","NULL","PennController",19,"_Trial_","Start",1552755540059,"The stern captain is the officer who on the boat could give orders.","NULL"
1552756223,280,"PennController",19,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552755547526,"The stern captain is the officer who on the boat could give orders.","NULL"
1552756223,280,"PennController",19,0,"filler","NULL","PennController",19,"_Trial_","End",1552755551196,"The stern captain is the officer who on the boat could give orders.","NULL"
1552756223,280,"PennController",46,0,"prepositional","NULL","PennController",46,"_Trial_","Start",1552755551197,"The offensive comedian was an entertainer whom no audience would generally laugh at.","NULL"
1552756223,280,"PennController",46,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552755560000,"The offensive comedian was an entertainer whom no audience would generally laugh at.","NULL"
1552756223,280,"PennController",46,0,"prepositional","NULL","PennController",46,"_Trial_","End",1552755560715,"The offensive comedian was an entertainer whom no audience would generally laugh at.","NULL"
1552756223,280,"PennController",56,0,"particle","NULL","PennController",56,"_Trial_","Start",1552755560716,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552756223,280,"PennController",56,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552755583039,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552756223,280,"PennController",56,0,"particle","NULL","PennController",56,"_Trial_","End",1552755583872,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552756223,280,"PennController",9,0,"filler","NULL","PennController",9,"_Trial_","Start",1552755583873,"That old song was a tune that by the end would sound familiar.","NULL"
1552756223,280,"PennController",9,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552755591775,"That old song was a tune that by the end would sound familiar.","NULL"
