"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","sentence1","Comments"
1552747083,267,"PennController",36,0,"prepositional","NULL","PennController",36,"_Trial_","Start",1552746805577,"The  new method is a technique which all surgeons should eagerly learn about.","NULL"
1552747083,267,"PennController",36,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552746816876,"The  new method is a technique which all surgeons should eagerly learn about.","NULL"
1552747083,267,"PennController",36,0,"prepositional","NULL","PennController",36,"_Trial_","End",1552746817799,"The  new method is a technique which all surgeons should eagerly learn about.","NULL"
1552747083,267,"PennController",62,0,"particle","NULL","PennController",62,"_Trial_","Start",1552746817799,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552747083,267,"PennController",62,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552746824028,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552747083,267,"PennController",62,0,"particle","NULL","PennController",62,"_Trial_","End",1552746824844,"That bearded man is the teacher whom the substitute would occasionally fill in for.","NULL"
1552747083,267,"PennController",15,0,"filler","NULL","PennController",15,"_Trial_","Start",1552746824845,"That stubborn stain is an annoyance that by this point should be gone.","NULL"
1552747083,267,"PennController",15,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552746833646,"That stubborn stain is an annoyance that by this point should be gone.","NULL"
1552747083,267,"PennController",15,0,"filler","NULL","PennController",15,"_Trial_","End",1552746834310,"That stubborn stain is an annoyance that by this point should be gone.","NULL"
1552747083,267,"PennController",34,0,"prepositional","NULL","PennController",34,"_Trial_","Start",1552746834311,"The rare bird is a species which every biologist should enthusiastically teach about.","NULL"
1552747083,267,"PennController",34,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552746842678,"The rare bird is a species which every biologist should enthusiastically teach about.","NULL"
1552747083,267,"PennController",34,0,"prepositional","NULL","PennController",34,"_Trial_","End",1552746843222,"The rare bird is a species which every biologist should enthusiastically teach about.","NULL"
1552747083,267,"PennController",56,0,"particle","NULL","PennController",56,"_Trial_","Start",1552746843223,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552747083,267,"PennController",56,0,"particle","NULL","Selector","trial1","Selection","sentence2",1552746849465,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552747083,267,"PennController",56,0,"particle","NULL","PennController",56,"_Trial_","End",1552746850034,"The tough test was a milestone which no student could ever feel up to.","NULL"
